VideoID,Title,VideoDescription,PublishedDate,Likes,Disliked,Views,Comment
FGwDfgyM-NI,"✈️ ""Poślubiłam Masaja i zamieszkałam w jego wiosce""","❤ Współautorami naszych filmów jesteście Wy!
https://patronite.pl/globstory 
➤ Chodź na FB: https://www.facebook.com/globstory/
➤ Chodź na Instagrama: @globstory 
➤ Centrum dowodzenia: https://globstory.pl

_________________

Stephanie:
Na Instagramie: https://www.instagram.com/masai_story/
Na Facebooku: https://www.facebook.com/stephanie.fuchs.336
Projekt podpaskowy: https://www.gofundme.com/f/gofundmecommenstruation-matters

Poprzedni odcinek:
""Masajowie - dlaczego nie ma już ludzi wolnych?""
https://youtu.be/IpgSHLj9flM



#Masajowie #Tanzania",2020-12-27T16:45:48Z,87234,4157,3303083,14430
IpgSHLj9flM,✈️ Dlaczego nie ma już ludzi wolnych? - Masajowie,"❤ Współautorami naszych filmów jesteście Wy!
https://patronite.pl/globstory 
➤ Chodź na FB: https://www.facebook.com/globstory/
➤ Chodź na Instagrama: @globstory 
➤ Centrum dowodzenia: https://globstory.pl

_________________

🎵 Muzyka z końcówki:
Rush (ft. Lance Conrad) by Michael Shynes

_________________


📖 Źródła:

1. Village governance and common pool resources in Tanzania Issa Shivji March 2002 
2. RIGHTS TO LAND AND EXTRACTIVE RESOURCES IN TANZANIA - Rasmus Hundsbæk Pedersen, Thabit Jacob, Faustin Maganga and Opportuna Kweka
3. https://www.pambazuka.org/pan-africanism/mwalimu-nyerere%E2%80%99s-ideas-land?fbclid=IwAR0-UDMg9ysHZkTERlaTQZUESmtTqdla2tXpFUcJK8Sr5Rw4nxDiJcwBQ98
4. https://www.theguardian.com/world/2009/sep/06/masai-tribesman-tanzania-tourism?fbclid=IwAR1HA0rjljt7A6JBG0bdl9OtnhL6-zcz5TAXcbxmwl2CZipsvQPetOoPvDY
5. Archive.org
6. Wikimedia Commons




#Masajowie #Tanzania",2020-11-10T10:23:24Z,11225,173,334377,822
X7FDMZoNZNQ,✈️ Jak wygląda nasz dzień/miesiąc w pracy?,"❤ Współautorami naszych filmów jesteście Wy!
https://patronite.pl/globstory 
➤ Chodź na FB: https://www.facebook.com/globstory/
➤ Chodź na Instagrama: @globstory 
➤ Centrum dowodzenia: http://globstory.pl/

Film powstał we współpracy z marką Lenovo. 
Komputer Lenovo ThinkPad X1 carbon 8 gen: https://www.lenovo.com/pl/pl/laptops/thinkpad/thinkpad-x1/X1-Carbon-Gen-8-/p/22TP2X1X1C8

Więcej o naszym partnerze przeczytacie tutaj: https://www.lenovozone.pl

Wspominam o filmach:
1. Z czego żyjemy i jak zarabiamy pieniądze?
https://youtu.be/wU9o4-aZ-b4
2. Jak wygląda nasza historia kanału?
https://youtu.be/nrrnu8aN2Nc


_________________

Jeśli kiedyś odwiedzicie Tanzanię - polecamy bardzo tę miejscówkę:
https://mamboviewpoint.org


_________________

Muzyka z filmu pochodzi z banków Epidemic Sound i Artlist. 
Wiem, że będziecie szukać info o piosence z końcówki :): 
- Michael Schynes - Rush feat. Lance Conrad

_________________

#Tanzania #Afryka",2020-10-12T09:13:08Z,6248,95,129205,461
OesAkTkYpQE,✈️ Jak wygląda zwyczajne życie w TANZANII?,"Youtube Premium - 30 dni testowania za darmo - http://bit.ly/Globstory

❤ Współautorami naszych filmów jesteście Wy!
https://patronite.pl/globstory 
➤ Chodź na FB: https://www.facebook.com/globstory/
➤ Chodź na Instagrama: @globstory 
➤ Centrum dowodzenia: http://globstory.pl/


_________________

Jeśli kiedyś odwiedzicie Tanzanię - polecamy bardzo tę miejscówkę:
https://mamboviewpoint.org


_________________

Muzyka z filmu pochodzi z banków Epidemic Sound i Artlist. 
Nie wiem czy można je znaleźć poza bankami :(

_________________

#Tanzania #Afryka",2020-09-10T05:55:40Z,10644,92,233330,664
M13NtgmH44I,✈️ Zamieszkaliśmy na szczycie góry W TANZANII,"Youtube Premium - 30 dni testowania za darmo - http://bit.ly/Globstory

❤ Współautorami naszych filmów jesteście Wy!
https://patronite.pl/globstory 
➤ Chodź na FB: https://www.facebook.com/globstory/
➤ Chodź na Instagrama: @globstory 
➤ Centrum dowodzenia: http://globstory.pl/


_________________

Jeśli kiedyś odwiedzicie Tanzanię - to TA miejscówka :)
https://mamboviewpoint.org


_________________

Muzyka z filmu pochodzi z banków Epidemic Sound i Artlist. 
Ta z pierwszej sceny: https://www.youtube.com/watch?v=-tD3zydi7ZA

_________________

#Tanzania #Afryka",2020-09-02T11:13:19Z,10743,81,162515,1026
YcD60bB1wqA,Natura przejmuje to co do niej należy (w Bułgarii),"❤ Współautorami naszych filmów jesteście Wy!
https://patronite.pl/globstory 
➤ Chodź na FB: https://www.facebook.com/globstory/
➤ Chodź na Instagrama: @globstory 
➤ Centrum dowodzenia: http://globstory.pl/

_________________


Kanał Orient Explorer: https://www.youtube.com/channel/UCWWD66Rbib1Zlv90sNkeI5w
Wpadajcie! To super ludzie :)

Muzyka pochodzi z banku muzyki Epidemic Sound i Envato Elements.
Jeden z fragmentów to mój kawałek, w wykonaniu Pawła Szutty :) :
https://youtu.be/LtWfYxPbr-Y

#Bułgaria #Buzłudża #SłonecznyBrzeg #urbex",2020-07-23T12:33:35Z,8320,150,199257,679
nssAMT5FNpk,GENOWEWA -  cały film [4k],"❤ Współautorami naszych filmów jesteście Wy!
https://patronite.pl/globstory 
➤ Chodź na FB: https://www.facebook.com/globstory/
➤ Chodź na Instagrama: @globstory 
➤ Centrum dowodzenia: https://globstory.pl/

_________________

Muzyka pochodzi z banku muzyki Epidemic Sound 

_________________

Sprzęt:

📷 Olympus OM-D E-M1 Mark III
📷 Lumix GH 5
🔍 Zuiko  ED 7–14mm F2.8 PRO
🔍 Zuiko  ED 12–40mm F2.8 PRO
🔍 Zuiko 45mm F1.8
🎛️ Zoom H4N + Sennheiser (mik. krawatowy)

Montaż:
💻 Final Cut




#Bułgaria #Romowie",2020-07-01T18:54:18Z,8267,168,133810,942
sGn_Kddywa8,"✈️ CZEŚĆ, brzydki vlog, ale fajny ;)","❤ Współautorami naszych filmów jesteście Wy!
https://patronite.pl/globstory 
➤ Chodź na FB: https://www.facebook.com/globstory/
➤ Chodź na Instagrama: @globstory 
➤ Centrum dowodzenia: http://globstory.pl/

_________________

Muzyka pochodzi z banku muzyki Epidemic Sound i Envato Elements.
Jeden z fragmentów to mój kawałek, w wykonaniu Pawła Szutty :) :
https://youtu.be/LtWfYxPbr-Y",2020-06-21T14:07:54Z,8397,194,128319,815
B1upjYIjYwI,Czego NIE WIDZISZ patrząc na ZDJĘCIA SATELITARNE?,"❤ Współautorami naszych filmów jesteście Wy!
https://patronite.pl/globstory 
➤ Chodź na FB: https://www.facebook.com/globstory/
➤ Chodź na Instagrama: @globstory 
➤ Centrum dowodzenia: http://globstory.pl/

___________________

Dziękujemy! 

📷 Anna Mikulska 
https://m.facebook.com/pg/historieoczlowieku/posts/?ref=page_internal&mt_nav=0 

📷 Attila Kálmán  
journalist, photographer of https://24.hu 

📷 Gosia Juszczak  
https://www.facebook.com/gosia.juszczak.12

📷 Umida Niyazova
Uzbek Forum for Human Rights https://www.uzbekforum.org/

📷 Francesca Spinola
Instagram https://www.instagram.com/fraspinola/ 
LinkedIn: https://www.linkedin.com/in/francesca-spinola-13a74a3a/

 📷 Delyan Todorov 
photojournalist - https://www.facebook.com/D.D.Todorov 

📷 Timur Karpov
 Instagram https://instagram.com/timur_karpov

_________________

Muzyka pochodzi z banku muzyki Epidemic Sound.

_________________


Ponadto korzystaliśmy z bardzo wielu źródeł.
Materiały photo i video pochodzą głównie z Envato Elementu, Archive.org i Pexel.

„Starving Sea” Anton Withagen
https://archive.org/details/Aral854X480 
This work is licensed under a Creative Commons Attribution 3.0 International License

Baterie litowo jonowe
https://archive.org/details/rechargebattery1nbs
Public domain mark 1.0

The birth of Nation
Public Domain
https://archive.org/details/dw_griffith_birth_of_a_nation

DRC
By Julien Harneis - Flickr: Mining in Kailo, CC BY-SA 2.0, https://commons.wikimedia.org/w/index.php?curid=20396807

Zdjęcia Norilsk
By Timur V. Voronkov - Self-photographed, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=15573825
By Ninaras - Own work, CC BY 4.0, https://commons.wikimedia.org/w/index.php?curid=50297531
By Qweasdqwe - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=26902850
By Ninara from Helsinki, Finland - 4Y1A0077, CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=52147697
By Ninara from Helsinki, Finland - 4Y1A0093 Norilsk, CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=52147685
By Ninaras - Own work, CC BY 4.0, https://commons.wikimedia.org/w/index.php?curid=50482890
By Ninaras - Own work, CC BY 4.0, https://commons.wikimedia.org/w/index.php?curid=50482880
By Ninara from Helsinki, Finland - 4Y1A9942 Talnakh, CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=52147707
By Ninaras - Own work, CC BY 4.0, https://commons.wikimedia.org/w/index.php?curid=50297532
By Ninara from Helsinki, Finland - 4Y1A9953, CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=52147710
By Shishaev Kirill, CC BY 3.0, https://commons.wikimedia.org/w/index.php?curid=59484069
By Shishaev Kirill, CC BY 3.0, https://commons.wikimedia.org/w/index.php?curid=59484069
By Nazarenko Olga - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=17509472
By Julien Harneis from Goma, Democratic Republic of Congo - Mining in Kailo, CC BY-SA 2.0, https://commons.wikimedia.org/w/index.php?curid=5730649
By Julien Harneis, https://www.flickr.com/people/julien_harneis/ - https://www.flickr.com/photos/julien_harneis/1872000955/in/photostream/, CC BY-SA 2.0, https://commons.wikimedia.org/w/index.php?curid=36052354

https://archive.org/details/20190524004942
https://archive.org/details/20190531181406

Ghana
https://commons.wikimedia.org/wiki/File:Agbogbloshie_September_2017.webm
Muntaka Chasant / CC BY-SA (https://creativecommons.org/licenses/by-sa/4.0)
Fairphone / CC BY-SA (https://creativecommons.org/licenses/by-sa/2.0)
Lantus / CC BY (https://creativecommons.org/licenses/by/2.0)

Zdjęcia:
Fahad Faisal / CC BY-SA (https://creativecommons.org/licenses/by-sa/3.0)
SuSanA Secretariat / CC BY (https://creativecommons.org/licenses/by/2.0)
Tareq Salahuddin from Dhaka, Bangladesh / CC BY (https://creativecommons.org/licenses/by/2.0)
Fahad Faisal / CC BY-SA (https://creativecommons.org/licenses/by-sa/4.0)
Fahad Faisal / CC BY-SA (https://creativecommons.org/licenses/by-sa/4.0)

Ale przede wszystkim #GoogleEarth",2020-05-15T18:55:17Z,29931,721,559322,2910
qX9rrnEW128,#Hot16Challenge2 GLOBSTORY,"https://www.siepomaga.pl/hot16challenge

Dzięki: GdzieBądź za nominację. 

Hot16challenge to wyzwanie polegające na nagraniu 16 wersów i nominowaniu kolejnych osób do akcji, które mają stworzyć swój kawałek w 72 godziny. Druga edycja legendarnej rapowanej akcji to nie tylko nagrywanie muzyki, ale również pomoc w walce z koronawirusem. Wraz z  #hot16challenge2 ruszyła zbiórka - “Beef z koronawirusem #hot16challenge” dla Siepomaga.pl. Zarówno nominowani jak i fani mogą wpłacać pieniądze na pomoc pracownikom służby zdrowia w walce z Koronawirusem. Zbiórka dostępna jest pod adresem: http://siepomaga.pl/hot16challenge. Całą akcję można śledzić na stronie hot16challenge.network.

Hot16challenge is an initiative for rappers and singers. Idea of the action is to record one verse including 16 bars, publish it and then nominate four more artists who have 72 hours to reply. Main goal of Hot16challenge is to activate as many artists as possible and to mobilize firstly hip-hop industry, then hopefully whole music industry to help fight COVID-19 by music. 
Hot16challenge participants and their fans as well can donate to link or any charity campaign in fight with coronavirus. 

Six years ago, #hot16challenge went viral as an artist-to-artist movement. Now we’re launching a sequel, but with a charitable twist and going worldwide.

Official Site: http://hot16challenge.network",2020-05-08T17:51:08Z,8508,293,161950,534
