Channel,Video Title,Video Description,Video ID,Comment,Comment iD,Replies,Likes
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"Thank you everyone for your wonderful outpouring of love! 🙏 My year in Pakistan has been an incredible opportunity to see places I never knew existed, and meet wonderful people. May it long continue! 🙌",Ugwm5i5wTuGH8023nIt4AaABAg,475,5037
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,We share your vision Eva. Thanks for sharing it with us. A pakistani friend.,Ugyk-49uVzAz23hlfLR4AaABAg,17,841
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,Amazing..,Ugz6OqZI5oCFtMiYtjd4AaABAg,6,271
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"Yes it is really beautiful ❤
I don't know what they show in movies and news thank you Eva for opening many eyes 👀.",Ugx6nvJzSJbN62ug15V4AaABAg,6,96
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"Before this video I don't know Pakistan has such a beautiful country. l like pakistan. Pakistan is such an amazing country.

 FROM INDIA🇮🇳🇮🇳",UgxGaJi8RwUP-BtLg2F4AaABAg,17,55
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"Literally 13K comments,, and didn't find something wrong said about Pakistan 💚👍🏻",UgwKCRGT8o4OUXKOaxB4AaABAg,2,61
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,when she says ''this is my pakistan '' she won all pakistanis heart,UgxGsIYrFImVwF6dPAF4AaABAg,63,2846
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"I'm from India 🇮🇳 ♥  , After watched this my heart says go to Pakistan 🇵🇰 ♥ to tour 😍 , Insha Allah I'm waiting for that day..",UgzyuN3CvcjjxkW2dfB4AaABAg,1,29
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,We literally have the same idea i love pakistan than the rest of the world... Love from 🇵🇭💕🇵🇰,UgwAUx_xbzN6bvE4gTZ4AaABAg,1,107
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"Trust me or not,  after watching this video I've fallen in love with Pakistan.  Respect from your brother country Bangladesh 🇧🇩 
And best wishes for your bright future,  Let's work together and make South Asia great again.  🇧🇩🇵🇰🇲🇻🇱🇰🇳🇵🇮🇳🇧🇹🇦🇫",UgyFize4VneysYOOFZ94AaABAg,28,431
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,Thanks to Almighty Allah Who gave Us the Country like Pakistan 🇵🇰🇵🇰🇵🇰,UgzIKy85FD57SKmzXxd4AaABAg,2,98
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"Pakistan was 2018 one of the best travel destinations of the World!!
I think really too that Pakistan can be Number one of the World 🇵🇰🇵🇰
Peace from Germany 🇩🇪🇩🇪",UgyyMtRqCzPE6Hjh4hh4AaABAg,29,977
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"Wow, Pakistan is so beautiful! I would love to visit it one day, much love from The Netherlands 🇳🇱",UgwIxl-tM2hbU5Rft_V4AaABAg,12,116
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,Love Pakistan From Bangladesh :)🇧🇩🇵🇰,UgyGURtglFYy9ylJ5XB4AaABAg,0,126
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"Couldn't hold my tears when she said ""My Pakistan""😭",UgyHVbdHmF5Byz1VcCF4AaABAg,0,117
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"""This is my Pakistan"" the best caption I've never been heard in my entire  life . Much love much respect ❣",Ugwdt73IL-0FN_1y25l4AaABAg,0,38
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,I love you so much Pakistan I am from Azerbaijan 🌹🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰🇦🇿🇦🇿🇦🇿🇦🇿🇦🇿🇦🇿🇦🇿🇵🇰🌹,UgzsX0g4BwhZYZSZ_qh4AaABAg,3,78
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,Pakistan I will come to you as soon as possible from India 🇮🇳🤗🇵🇰,Ugwjrfx60Y9oomjyBAR4AaABAg,27,300
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"Hmm. I have been to places that *were* once beautiful and were destroyed by many of those things you are promoting. Hopefully, if Pakistan does develop its natural and cultural wonders, it can do it carefully. Hopefully, it can avoid the terrible results that show up in Thailand, Bali, Hawaii, much of the Caribbean, etc. I'm not suggesting to not have any infrastructure, just learn the lessons of those places who really messed up what made those places special.",UgxdgxNjat03NsbMg5Z4AaABAg,6,74
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"Why Eva can become no 1 vlogger in the world 

Answer : Eva is best in the world 😍",UgywlgzIm3wTUb9Lwe94AaABAg,0,26
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,Pakistan is very beautiful country. May God bless Pakistan from New Zealand,UgxEPyb3dxvnTpyimT14AaABAg,107,1246
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,Love you Pakistan from Bangladesh 🇧🇩,UgywJkY46TlcsmNCT4B4AaABAg,0,51
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"I am from pakistan and when she said this is my pakistan my heart was just crying
And all of the things she said about tourism are true and god gifted
Subhanallah",Ugy2eo_r_y2nCG2cHNt4AaABAg,0,34
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,This is my dream place to visit..hope soon I can visit this amazing place,UgxAU9B7XQj52-iqOaV4AaABAg,0,16
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,I m crying 😢😢😢😢😢😢😢this is  my love for Pakistan from kashmir 💓😥😥😥😥😥,UgwyaJzsdvPBcZtBu6h4AaABAg,0,19
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"Eva...!
Thanx for choosing Pakistan 🇵🇰..
Lovin'you from Pakistani 🇵🇰 South African🇿🇦",UgynLFRtR03aXfBrRsh4AaABAg,5,452
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,I believe that Pakistan is naturally most beautiful country in the world. Like it from Bangladesh.,UgyRnHAaBHMGdM5qUXh4AaABAg,0,13
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,The way she's Described Pakistan totally amazing & Perfect,UgwAlF7hAUrcTY3xFPh4AaABAg,0,10
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"Wow😍just WOW❤ 
I didn't imagine Pakistan would be this beautiful ❤ 
Pakistan is now in my bucket list ❤
Much love from India❤",Ugyuy1IlULyexAQIcEZ4AaABAg,0,67
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,Balochistan is most beautiful ❤️,UgwN-xjd2zBznlsmKmN4AaABAg,0,19
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"I been to Pakistan and quit surprised peoples were so friendly and polite 
I been to 17 countries but Pakistan # 1 in every point of view 
Love and respect from Australia",UgyEpnRyfvO7sHax5t54AaABAg,137,3956
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"""This is my Pakistan 🇵🇰""
That made my day Eva.
Ty for all these vlogs for us 😢💞",UgyL81GxDLp750hxPul4AaABAg,0,7
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,Yup my pakistan 🇵🇰 is very lovefull and beutifull country peace ✌️,UgxcJZG_3ll302JDjHF4AaABAg,0,20
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"Eva, when you says ""This is my Pakistan"" It brings tears in my eyes...
Lot of respect and Love for you......
I hope you will visit Pakistan again....",UgyIzpOGSBTAme526sZ4AaABAg,0,13
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"No one expressed it better than you, no foreigner dreamt about it more than you. Feeling absolutely touched, Thank you Eva. ❤️ 🇵🇰 🇵🇱",Ugy0UGeBds_Xw9rYM5l4AaABAg,0,7
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"loads and loads of love from Turkey, I miss Pakistan. . i will definitely make videos in Pakistan when i come there. I will make a social experimenyt video to show you how much Turks love you.
Update: The video has been uploaded, :)",UgyGezYcL26ZUbg47R54AaABAg,90,1341
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"I would love to see Pakistan 🇵🇰 ‘
Love from India 🇮🇳!",UgxLIgiNI_ZJDmYtBV94AaABAg,0,6
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"“Doubt kills more dreams than failure ever will.”

From a Youtuber ❤❤",Ugx911dUblck6uNE5v94AaABAg,0,7
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"You're amazing ..! Do come again PAKISTAN when the COVID situation gets normal.!! LOVE from SKARDU, PAKISTAN",UgxObtEPcM9rb6nyLYF4AaABAg,0,8
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"""This is My Pakistan"" this sentence make my day ♥️♥️.. Thanku so much for your words and positive thoughts for my Country 🇵🇰🇵🇰.. PAKISTAN ZINDABAD",UgwFqX9agMOEYkvPnf14AaABAg,0,8
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,Love ❤️ Pakistan 🇵🇰 from Cambodia 🇰🇭,UgxP50M0jXM03RI7a3F4AaABAg,17,435
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"Really it's very beautiful, love from India 😍😍",UgynOidbuzMzvwQvJhl4AaABAg,0,4
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"I really think Pakistan can be #1 on tourist. People are so kind, I've heard that they are the most hospitable people in the world. I've also looked at nature 😍😍 Love from Canada 💕💕",UgwYmIJqlqPLYiuLfIh4AaABAg,0,8
Eva zu Beck,Why Pakistan Can Become the #1 Travel Destination in the World,"This isn't my typical video. Yesterday, I had a chance to speak in front of the Prime Minister of Pakistan, Imran Khan, and share with him my experience of ...",AeSadjRblyM,"Many times I have this video and every time I have tears in my eyes..
Amazing video
God bless you 💖💕♥️",Ugye1mr6Jj0Sv8X_rrd4AaABAg,0,4
