Channel,Video Title,Video Description,Video ID,Comment,Comment iD,Replies,Likes
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,"Uprzedzając pytania ;)
Komentarze sprzed kilkunastu godzin, mimo tego, że premiera filmu miała miejsce kilka minut temu, to Patroni :) Którzy obejrzeli przedpremierowo odcinek dzień wcześniej.
Miłego oglądania, Wszyscy!",Ugzm6lIxxEfA8HVEP9R4AaABAg,130,704
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,Such a beautiful story & way of life. Thank you for sharing.,UgzZ1c8TlZ0Gtxt0LIV4AaABAg,18,1068
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,"""I don't feel pity for them, I feel pity for us"" 💔",UgwtDsy7R8wMrFzqWA54AaABAg,2,105
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,She is writing her impressive history. And she is amazing.,UgxOm7hJZxRBsgcH6Cp4AaABAg,0,10
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,I love how much she loves her husband and does not push him to follow modern standards. She is respectful to his culture. People like her are rare these days.,UgyBPRQI1J2GN6nuCiR4AaABAg,5,179
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,"""She's the daughter of the third wife of my husband's father"" LMAO! That got me laughing and pausing the video to try and comprehend how big this family is. Interesting.",UgzaJmBZ9SGxUKQukYh4AaABAg,3,92
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,Africa is beautiful 😍,UgzMMY78pU0r5OjIZ694AaABAg,116,1565
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,"When she started to cry I started crying because she is right, there is no need to pity them we should admire their way of living and worry about our western ways. What a beautiful person, I can see why they  have fully accepted her living with them ❤ she is different but in her heart she is one of them.",UgwlzCkPOi_UIi_0X9l4AaABAg,0,9
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,"She's a pure being .... This vid is much better than "" living with the kadarshians "" Oprah show or wendy show",Ugy8JJ07DiHU8WEir-Z4AaABAg,0,36
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,She is a special woman with a pure heart.,Ugy2o14pxUuHtaTHMLJ4AaABAg,1,47
